Process,Periodicity,Status_Today,Status_Legend,Remarks,SourceFile
FX Rate Migration,Daily,PDTE,nan,305,Control de ejecución de WA y procesos diarios - Megacompliance -01042025.xlsx
Migration_Common_To_Compliance Tradable Assets,Daily,PDTE,nan,N° of TA in MegaCommon D-1:556 N° of TA in MegaCompliance D-1:556,Control de ejecución de WA y procesos diarios - Megacompliance -01042025.xlsx
Migration_Common_To_Compliance Contractual Client,Daily,PDTE,nan,N° of clients in MegaCommon D-1: 0 N° of clients in MegaCompliance D-1:0,Control de ejecución de WA y procesos diarios - Megacompliance -01042025.xlsx
Daily Contractos WA was executed,Daily,OK,nan,931  lines impacted,Control de ejecución de WA y procesos diarios - Megacompliance -01042025.xlsx
Main Entity (0038) business date was updated,Daily,OK,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -01042025.xlsx
Main Entity (ALL) business date was updated,Daily,OK,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -01042025.xlsx
Nodes,Weekly(Monday),OK,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -01042025.xlsx
MegaBroker Data,Daily,OK,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -01042025.xlsx
!,nan,nan,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -01042025.xlsx
Recepción de ficheros de RF,Daily,OK,OK,Number of lines received: 10607,Control de ejecución de WA y procesos diarios - Megacompliance -02012025.xlsx
Recepción de ficheros de RV,Daily,OK,KO,Number of lines received: 9280,Control de ejecución de WA y procesos diarios - Megacompliance -02012025.xlsx
Recepción de ficheros de Opderivados,Daily,OK,KR,Number of lines received: 287,Control de ejecución de WA y procesos diarios - Megacompliance -02012025.xlsx
Recepción de ficheros de Prderivados,Daily,OK,PDTE,Number of lines received: 1502,Control de ejecución de WA y procesos diarios - Megacompliance -02012025.xlsx
Recepción de ficheros de AC_RF,Daily,PDTE,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -02012025.xlsx
Recepción de ficheros de AC_RV,Daily,PDTE,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -02012025.xlsx
Reconciliation_Job,Monthly,OK,nan,202 eligible,Control de ejecución de WA y procesos diarios - Megacompliance -02012025.xlsx
AutomaticDashboard,Monthly,OK,nan,670 dashboards,Control de ejecución de WA y procesos diarios - Megacompliance -02012025.xlsx
Depositary Fees Calculation,Monthly,OK,nan,0  eligible,Control de ejecución de WA y procesos diarios - Megacompliance -02012025.xlsx
Management Fees Calculation,Monthly,OK,nan,0 eligible,Control de ejecución de WA y procesos diarios - Megacompliance -02012025.xlsx
Success Fees Calculation,Monthly,OK,nan,0  eligible,Control de ejecución de WA y procesos diarios - Megacompliance -02012025.xlsx
Ratios Job,Monthly,OK,nan,69 eligible,Control de ejecución de WA y procesos diarios - Megacompliance -02012025.xlsx
Sections Job,Monthly,OK,nan,2 eligible,Control de ejecución de WA y procesos diarios - Megacompliance -02012025.xlsx
Investment Policy Job Default,Monthly,OK,nan,0 eligible,Control de ejecución de WA y procesos diarios - Megacompliance -02012025.xlsx
Non Derivative Price Control Process,Daily,OK,nan,663,Control de ejecución de WA y procesos diarios - Megacompliance -02012025.xlsx
Derivative Price Control Process,Daily,OK,nan,663,Control de ejecución de WA y procesos diarios - Megacompliance -02012025.xlsx
Fees Reconciliation Job,Monthly,PDTE,nan,0 eligible,Control de ejecución de WA y procesos diarios - Megacompliance -02012025.xlsx
FX Rate Migration,Daily,PDTE,nan,305,Control de ejecución de WA y procesos diarios - Megacompliance -02012025.xlsx
Migration_Common_To_Compliance Tradable Assets,Daily,PDTE,nan,N° of TA in MegaCommon D-1:44 N° of TA in MegaCompliance D-1:103,Control de ejecución de WA y procesos diarios - Megacompliance -02012025.xlsx
Migration_Common_To_Compliance Contractual Client,Daily,PDTE,nan,N° of clients in MegaCommon D-1: 0 N° of clients in MegaCompliance D-1:0,Control de ejecución de WA y procesos diarios - Megacompliance -02012025.xlsx
Daily Contractos WA was executed,Daily,PDTE,nan,686  lines impacted,Control de ejecución de WA y procesos diarios - Megacompliance -02012025.xlsx
Main Entity (0038) business date was updated,Daily,OK,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -02012025.xlsx
Main Entity (ALL) business date was updated,Daily,OK,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -02012025.xlsx
Nodes,Weekly(Monday),OK,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -02012025.xlsx
MegaBroker Data,Daily,OK,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -02012025.xlsx
!,nan,nan,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -02012025.xlsx
Recepción de ficheros de RF,Daily,OK,OK,Number of lines received: 10607,Control de ejecución de WA y procesos diarios - Megacompliance -03012025.xlsx
Recepción de ficheros de RV,Daily,OK,KO,Number of lines received: 14683,Control de ejecución de WA y procesos diarios - Megacompliance -03012025.xlsx
Recepción de ficheros de Opderivados,Daily,OK,KR,Number of lines received: 126,Control de ejecución de WA y procesos diarios - Megacompliance -03012025.xlsx
Recepción de ficheros de Prderivados,Daily,OK,PDTE,Number of lines received: 1597,Control de ejecución de WA y procesos diarios - Megacompliance -03012025.xlsx
Recepción de ficheros de AC_RF,Daily,PDTE,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -03012025.xlsx
Recepción de ficheros de AC_RV,Daily,PDTE,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -03012025.xlsx
Reconciliation_Job,Monthly,OK,nan,0 eligible,Control de ejecución de WA y procesos diarios - Megacompliance -03012025.xlsx
AutomaticDashboard,Monthly,OK,nan,670 dashboards,Control de ejecución de WA y procesos diarios - Megacompliance -03012025.xlsx
Depositary Fees Calculation,Monthly,OK,nan,0  eligible,Control de ejecución de WA y procesos diarios - Megacompliance -03012025.xlsx
Management Fees Calculation,Monthly,OK,nan,0 eligible,Control de ejecución de WA y procesos diarios - Megacompliance -03012025.xlsx
Success Fees Calculation,Monthly,OK,nan,0  eligible,Control de ejecución de WA y procesos diarios - Megacompliance -03012025.xlsx
Ratios Job,Monthly,OK,nan,67 eligible,Control de ejecución de WA y procesos diarios - Megacompliance -03012025.xlsx
Sections Job,Monthly,OK,nan,0 eligible,Control de ejecución de WA y procesos diarios - Megacompliance -03012025.xlsx
Investment Policy Job Default,Monthly,OK,nan,0 eligible,Control de ejecución de WA y procesos diarios - Megacompliance -03012025.xlsx
Non Derivative Price Control Process,Daily,OK,nan,174,Control de ejecución de WA y procesos diarios - Megacompliance -03012025.xlsx
Derivative Price Control Process,Daily,OK,nan,24,Control de ejecución de WA y procesos diarios - Megacompliance -03012025.xlsx
Fees Reconciliation Job,Monthly,PDTE,nan,0 eligible,Control de ejecución de WA y procesos diarios - Megacompliance -03012025.xlsx
FX Rate Migration,Daily,PDTE,nan,305,Control de ejecución de WA y procesos diarios - Megacompliance -03012025.xlsx
Migration_Common_To_Compliance Tradable Assets,Daily,PDTE,nan,N° of TA in MegaCommon D-1:23 N° of TA in MegaCompliance D-1:23,Control de ejecución de WA y procesos diarios - Megacompliance -03012025.xlsx
Migration_Common_To_Compliance Contractual Client,Daily,PDTE,nan,N° of clients in MegaCommon D-1: 0 N° of clients in MegaCompliance D-1:0,Control de ejecución de WA y procesos diarios - Megacompliance -03012025.xlsx
Daily Contractos WA was executed,Daily,PDTE,nan,449  lines impacted,Control de ejecución de WA y procesos diarios - Megacompliance -03012025.xlsx
Main Entity (0038) business date was updated,Daily,OK,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -03012025.xlsx
Main Entity (ALL) business date was updated,Daily,OK,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -03012025.xlsx
Nodes,Weekly(Monday),OK,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -03012025.xlsx
MegaBroker Data,Daily,OK,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -03012025.xlsx
!,nan,nan,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -03012025.xlsx
Recepción de ficheros de RF,Daily,OK,OK,Number of lines received: 10879,Control de ejecución de WA y procesos diarios - Megacompliance -03022025.xlsx
Recepción de ficheros de RV,Daily,OK,KO,Number of lines received: 5248,Control de ejecución de WA y procesos diarios - Megacompliance -03022025.xlsx
Recepción de ficheros de Opderivados,Daily,OK,KR,Number of lines received: 43,Control de ejecución de WA y procesos diarios - Megacompliance -03022025.xlsx
Recepción de ficheros de Prderivados,Daily,OK,PDTE,Number of lines received: 2105,Control de ejecución de WA y procesos diarios - Megacompliance -03022025.xlsx
Recepción de ficheros de AC_RF,Daily,PDTE,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -03022025.xlsx
Recepción de ficheros de AC_RV,Daily,PDTE,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -03022025.xlsx
Reconciliation_Job,Monthly,OK,nan,140 eligible,Control de ejecución de WA y procesos diarios - Megacompliance -03022025.xlsx
AutomaticDashboard,Monthly,OK,nan,672 dashboards,Control de ejecución de WA y procesos diarios - Megacompliance -03022025.xlsx
Depositary Fees Calculation,Monthly,PDTE,nan,0 eligible,Control de ejecución de WA y procesos diarios - Megacompliance -03022025.xlsx
Management Fees Calculation,Monthly,PDTE,nan,0  eligible,Control de ejecución de WA y procesos diarios - Megacompliance -03022025.xlsx
Success Fees Calculation,Monthly,PDTE,nan,0  eligible,Control de ejecución de WA y procesos diarios - Megacompliance -03022025.xlsx
Ratios Job,Monthly,PDTE,nan,69 eligible,Control de ejecución de WA y procesos diarios - Megacompliance -03022025.xlsx
Sections Job,Monthly,PDTE,nan,0 eligible,Control de ejecución de WA y procesos diarios - Megacompliance -03022025.xlsx
Investment Policy Job Default,Monthly,OK,nan,72 eligible,Control de ejecución de WA y procesos diarios - Megacompliance -03022025.xlsx
Non Derivative Price Control Process,Daily,PDTE,nan,665,Control de ejecución de WA y procesos diarios - Megacompliance -03022025.xlsx
Derivative Price Control Process,Daily,PDTE,nan,665,Control de ejecución de WA y procesos diarios - Megacompliance -03022025.xlsx
Fees Reconciliation Job,Monthly,OK,nan,0 eligible,Control de ejecución de WA y procesos diarios - Megacompliance -03022025.xlsx
FX Rate Migration,Daily,PDTE,nan,305,Control de ejecución de WA y procesos diarios - Megacompliance -03022025.xlsx
Migration_Common_To_Compliance Tradable Assets,Daily,PDTE,nan,N° of TA in MegaCommon D-1:167 N° of TA in MegaCompliance D-1:281,Control de ejecución de WA y procesos diarios - Megacompliance -03022025.xlsx
Migration_Common_To_Compliance Contractual Client,Daily,PDTE,nan,N° of clients in MegaCommon D-1: 1 N° of clients in MegaCompliance D-1:1,Control de ejecución de WA y procesos diarios - Megacompliance -03022025.xlsx
Daily Contractos WA was executed,Daily,PDTE,nan,691  lines impacted,Control de ejecución de WA y procesos diarios - Megacompliance -03022025.xlsx
Main Entity (0038) business date was updated,Daily,OK,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -03022025.xlsx
Main Entity (ALL) business date was updated,Daily,OK,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -03022025.xlsx
Nodes,Weekly(Monday),OK,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -03022025.xlsx
MegaBroker Data,Daily,OK,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -03022025.xlsx
!,nan,nan,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -03022025.xlsx
Recepción de ficheros de RF,Daily,OK,OK,Number of lines received: 11162,Control de ejecución de WA y procesos diarios - Megacompliance -03032025.xlsx
Recepción de ficheros de RV,Daily,OK,KO,Number of lines received: 5337,Control de ejecución de WA y procesos diarios - Megacompliance -03032025.xlsx
Recepción de ficheros de Opderivados,Daily,OK,KR,Number of lines received: 91,Control de ejecución de WA y procesos diarios - Megacompliance -03032025.xlsx
Recepción de ficheros de Prderivados,Daily,OK,PDTE,Number of lines received: 2121,Control de ejecución de WA y procesos diarios - Megacompliance -03032025.xlsx
Recepción de ficheros de AC_RF,Daily,PDTE,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -03032025.xlsx
Recepción de ficheros de AC_RV,Daily,PDTE,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -03032025.xlsx
Reconciliation_Job,Monthly,OK,nan,140 eligible,Control de ejecución de WA y procesos diarios - Megacompliance -03032025.xlsx
AutomaticDashboard,Monthly,OK,nan,670 dashboards,Control de ejecución de WA y procesos diarios - Megacompliance -03032025.xlsx
Depositary Fees Calculation,Monthly,PDTE,nan,2 eligible,Control de ejecución de WA y procesos diarios - Megacompliance -03032025.xlsx
Management Fees Calculation,Monthly,PDTE,nan,2 eligible,Control de ejecución de WA y procesos diarios - Megacompliance -03032025.xlsx
Success Fees Calculation,Monthly,PDTE,nan,2 eligible,Control de ejecución de WA y procesos diarios - Megacompliance -03032025.xlsx
Ratios Job,Monthly,PDTE,nan,68 eligible,Control de ejecución de WA y procesos diarios - Megacompliance -03032025.xlsx
Sections Job,Monthly,PDTE,nan,20 eligible,Control de ejecución de WA y procesos diarios - Megacompliance -03032025.xlsx
Investment Policy Job Default,Monthly,OK,nan,72 eligible,Control de ejecución de WA y procesos diarios - Megacompliance -03032025.xlsx
Non Derivative Price Control Process,Daily,OK,nan,663,Control de ejecución de WA y procesos diarios - Megacompliance -03032025.xlsx
Derivative Price Control Process,Daily,OK,nan,663,Control de ejecución de WA y procesos diarios - Megacompliance -03032025.xlsx
Fees Reconciliation Job,Monthly,OK,nan,0 eligible,Control de ejecución de WA y procesos diarios - Megacompliance -03032025.xlsx
FX Rate Migration,Daily,OK,nan,305,Control de ejecución de WA y procesos diarios - Megacompliance -03032025.xlsx
Migration_Common_To_Compliance Tradable Assets,Daily,PDTE,nan,N° of TA in MegaCommon D-1:561 N° of TA in MegaCompliance D-1:652,Control de ejecución de WA y procesos diarios - Megacompliance -03032025.xlsx
Migration_Common_To_Compliance Contractual Client,Daily,PDTE,nan,N° of clients in MegaCommon D-1: 0 N° of clients in MegaCompliance D-1:0,Control de ejecución de WA y procesos diarios - Megacompliance -03032025.xlsx
Daily Contractos WA was executed,Daily,PDTE,nan,778  lines impacted,Control de ejecución de WA y procesos diarios - Megacompliance -03032025.xlsx
Main Entity (0038) business date was updated,Daily,OK,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -03032025.xlsx
Main Entity (ALL) business date was updated,Daily,OK,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -03032025.xlsx
Nodes,Weekly(Monday),OK,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -03032025.xlsx
MegaBroker Data,Daily,OK,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -03032025.xlsx
!,nan,nan,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -03032025.xlsx
Recepción de ficheros de RF,Daily,OK,OK,Number of lines received: 10902,Control de ejecución de WA y procesos diarios - Megacompliance -04022025.xlsx
Recepción de ficheros de RV,Daily,OK,KO,Number of lines received: 5266,Control de ejecución de WA y procesos diarios - Megacompliance -04022025.xlsx
Recepción de ficheros de Opderivados,Daily,OK,KR,Number of lines received: 101,Control de ejecución de WA y procesos diarios - Megacompliance -04022025.xlsx
Recepción de ficheros de Prderivados,Daily,OK,PDTE,Number of lines received: 1938,Control de ejecución de WA y procesos diarios - Megacompliance -04022025.xlsx
Recepción de ficheros de AC_RF,Daily,PDTE,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -04022025.xlsx
Recepción de ficheros de AC_RV,Daily,PDTE,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -04022025.xlsx
Reconciliation_Job,Monthly,OK,nan,0 eligible,Control de ejecución de WA y procesos diarios - Megacompliance -04022025.xlsx
AutomaticDashboard,Monthly,OK,nan,672 dashboards,Control de ejecución de WA y procesos diarios - Megacompliance -04022025.xlsx
Depositary Fees Calculation,Monthly,PDTE,nan,0 eligible,Control de ejecución de WA y procesos diarios - Megacompliance -04022025.xlsx
Management Fees Calculation,Monthly,PDTE,nan,0  eligible,Control de ejecución de WA y procesos diarios - Megacompliance -04022025.xlsx
Success Fees Calculation,Monthly,PDTE,nan,0  eligible,Control de ejecución de WA y procesos diarios - Megacompliance -04022025.xlsx
Ratios Job,Monthly,PDTE,nan,72 eligible,Control de ejecución de WA y procesos diarios - Megacompliance -04022025.xlsx
Sections Job,Monthly,PDTE,nan,72 eligible,Control de ejecución de WA y procesos diarios - Megacompliance -04022025.xlsx
Investment Policy Job Default,Monthly,OK,nan,72 eligible,Control de ejecución de WA y procesos diarios - Megacompliance -04022025.xlsx
Non Derivative Price Control Process,Daily,OK,nan,665,Control de ejecución de WA y procesos diarios - Megacompliance -04022025.xlsx
Derivative Price Control Process,Daily,OK,nan,665,Control de ejecución de WA y procesos diarios - Megacompliance -04022025.xlsx
Fees Reconciliation Job,Monthly,OK,nan,0 eligible,Control de ejecución de WA y procesos diarios - Megacompliance -04022025.xlsx
FX Rate Migration,Daily,PDTE,nan,305,Control de ejecución de WA y procesos diarios - Megacompliance -04022025.xlsx
Migration_Common_To_Compliance Tradable Assets,Daily,PDTE,nan,N° of TA in MegaCommon D-1:92 N° of TA in MegaCompliance D-1:115,Control de ejecución de WA y procesos diarios - Megacompliance -04022025.xlsx
Migration_Common_To_Compliance Contractual Client,Daily,PDTE,nan,N° of clients in MegaCommon D-1: 0 N° of clients in MegaCompliance D-1:0,Control de ejecución de WA y procesos diarios - Megacompliance -04022025.xlsx
Daily Contractos WA was executed,Daily,PDTE,nan,535  lines impacted,Control de ejecución de WA y procesos diarios - Megacompliance -04022025.xlsx
Main Entity (0038) business date was updated,Daily,OK,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -04022025.xlsx
Main Entity (ALL) business date was updated,Daily,OK,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -04022025.xlsx
Nodes,Weekly(Monday),OK,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -04022025.xlsx
MegaBroker Data,Daily,OK,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -04022025.xlsx
!,nan,nan,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -04022025.xlsx
Recepción de ficheros de RF,Daily,OK,OK,Number of lines received: 11146,Control de ejecución de WA y procesos diarios - Megacompliance -04032025.xlsx
Recepción de ficheros de RV,Daily,OK,KO,Number of lines received: 5335,Control de ejecución de WA y procesos diarios - Megacompliance -04032025.xlsx
Recepción de ficheros de Opderivados,Daily,OK,KR,Number of lines received: 730,Control de ejecución de WA y procesos diarios - Megacompliance -04032025.xlsx
Recepción de ficheros de Prderivados,Daily,OK,PDTE,Number of lines received: 2110,Control de ejecución de WA y procesos diarios - Megacompliance -04032025.xlsx
Recepción de ficheros de AC_RF,Daily,PDTE,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -04032025.xlsx
Recepción de ficheros de AC_RV,Daily,PDTE,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -04032025.xlsx
Reconciliation_Job,Monthly,OK,nan,0 eligible,Control de ejecución de WA y procesos diarios - Megacompliance -04032025.xlsx
AutomaticDashboard,Monthly,OK,nan,671 dashboards,Control de ejecución de WA y procesos diarios - Megacompliance -04032025.xlsx
Depositary Fees Calculation,Monthly,PDTE,nan,0 eligible,Control de ejecución de WA y procesos diarios - Megacompliance -04032025.xlsx
Management Fees Calculation,Monthly,PDTE,nan,0 eligible,Control de ejecución de WA y procesos diarios - Megacompliance -04032025.xlsx
Success Fees Calculation,Monthly,PDTE,nan,0 eligible,Control de ejecución de WA y procesos diarios - Megacompliance -04032025.xlsx
Ratios Job,Monthly,PDTE,nan,72 eligible,Control de ejecución de WA y procesos diarios - Megacompliance -04032025.xlsx
Sections Job,Monthly,PDTE,nan,0 eligible,Control de ejecución de WA y procesos diarios - Megacompliance -04032025.xlsx
Investment Policy Job Default,Monthly,OK,nan,0 eligible,Control de ejecución de WA y procesos diarios - Megacompliance -04032025.xlsx
Non Derivative Price Control Process,Daily,OK,nan,663,Control de ejecución de WA y procesos diarios - Megacompliance -04032025.xlsx
Derivative Price Control Process,Daily,OK,nan,663,Control de ejecución de WA y procesos diarios - Megacompliance -04032025.xlsx
Fees Reconciliation Job,Monthly,OK,nan,0 eligible,Control de ejecución de WA y procesos diarios - Megacompliance -04032025.xlsx
FX Rate Migration,Daily,OK,nan,305,Control de ejecución de WA y procesos diarios - Megacompliance -04032025.xlsx
Migration_Common_To_Compliance Tradable Assets,Daily,PDTE,nan,N° of TA in MegaCommon D-1:152 N° of TA in MegaCompliance D-1:155,Control de ejecución de WA y procesos diarios - Megacompliance -04032025.xlsx
Migration_Common_To_Compliance Contractual Client,Daily,PDTE,nan,N° of clients in MegaCommon D-1: 0 N° of clients in MegaCompliance D-1:0,Control de ejecución de WA y procesos diarios - Megacompliance -04032025.xlsx
Daily Contractos WA was executed,Daily,PDTE,nan,840  lines impacted,Control de ejecución de WA y procesos diarios - Megacompliance -04032025.xlsx
Main Entity (0038) business date was updated,Daily,OK,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -04032025.xlsx
Main Entity (ALL) business date was updated,Daily,OK,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -04032025.xlsx
Nodes,Weekly(Monday),OK,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -04032025.xlsx
MegaBroker Data,Daily,OK,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -04032025.xlsx
!,nan,nan,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -04032025.xlsx
Recepción de ficheros de RF,Daily,OK,OK,Number of lines received: 10910,Control de ejecución de WA y procesos diarios - Megacompliance -05022025.xlsx
Recepción de ficheros de RV,Daily,OK,KO,Number of lines received: 14989,Control de ejecución de WA y procesos diarios - Megacompliance -05022025.xlsx
Recepción de ficheros de Opderivados,Daily,OK,KR,Number of lines received: 62,Control de ejecución de WA y procesos diarios - Megacompliance -05022025.xlsx
Recepción de ficheros de Prderivados,Daily,OK,PDTE,Number of lines received: 1946,Control de ejecución de WA y procesos diarios - Megacompliance -05022025.xlsx
Recepción de ficheros de AC_RF,Daily,PDTE,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -05022025.xlsx
Recepción de ficheros de AC_RV,Daily,PDTE,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -05022025.xlsx
Reconciliation_Job,Monthly,OK,nan,0 eligible,Control de ejecución de WA y procesos diarios - Megacompliance -05022025.xlsx
AutomaticDashboard,Monthly,OK,nan,672 dashboards,Control de ejecución de WA y procesos diarios - Megacompliance -05022025.xlsx
Depositary Fees Calculation,Monthly,OK,nan,3 eligible,Control de ejecución de WA y procesos diarios - Megacompliance -05022025.xlsx
Management Fees Calculation,Monthly,OK,nan,5  eligible,Control de ejecución de WA y procesos diarios - Megacompliance -05022025.xlsx
Success Fees Calculation,Monthly,OK,nan,5  eligible,Control de ejecución de WA y procesos diarios - Megacompliance -05022025.xlsx
Ratios Job,Monthly,OK,nan,68 eligible,Control de ejecución de WA y procesos diarios - Megacompliance -05022025.xlsx
Sections Job,Monthly,OK,nan,2 eligible,Control de ejecución de WA y procesos diarios - Megacompliance -05022025.xlsx
Investment Policy Job Default,Monthly,OK,nan,0 eligible,Control de ejecución de WA y procesos diarios - Megacompliance -05022025.xlsx
Non Derivative Price Control Process,Daily,OK,nan,665,Control de ejecución de WA y procesos diarios - Megacompliance -05022025.xlsx
Derivative Price Control Process,Daily,OK,nan,665,Control de ejecución de WA y procesos diarios - Megacompliance -05022025.xlsx
Fees Reconciliation Job,Monthly,OK,nan,0 eligible,Control de ejecución de WA y procesos diarios - Megacompliance -05022025.xlsx
FX Rate Migration,Daily,OK,nan,305,Control de ejecución de WA y procesos diarios - Megacompliance -05022025.xlsx
Migration_Common_To_Compliance Tradable Assets,Daily,PDTE,nan,N° of TA in MegaCommon D-1:105 N° of TA in MegaCompliance D-1:89,Control de ejecución de WA y procesos diarios - Megacompliance -05022025.xlsx
Migration_Common_To_Compliance Contractual Client,Daily,PDTE,nan,N° of clients in MegaCommon D-1: 0 N° of clients in MegaCompliance D-1:0,Control de ejecución de WA y procesos diarios - Megacompliance -05022025.xlsx
Daily Contractos WA was executed,Daily,PDTE,nan,717  lines impacted,Control de ejecución de WA y procesos diarios - Megacompliance -05022025.xlsx
Main Entity (0038) business date was updated,Daily,OK,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -05022025.xlsx
Main Entity (ALL) business date was updated,Daily,OK,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -05022025.xlsx
Nodes,Weekly(Monday),OK,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -05022025.xlsx
MegaBroker Data,Daily,OK,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -05022025.xlsx
!,nan,nan,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -05022025.xlsx
Recepción de ficheros de RF,Daily,OK,OK,Number of lines received: 11172,Control de ejecución de WA y procesos diarios - Megacompliance -05032025.xlsx
Recepción de ficheros de RV,Daily,OK,KO,Number of lines received: 5336,Control de ejecución de WA y procesos diarios - Megacompliance -05032025.xlsx
Recepción de ficheros de Opderivados,Daily,OK,KR,Number of lines received: 314,Control de ejecución de WA y procesos diarios - Megacompliance -05032025.xlsx
Recepción de ficheros de Prderivados,Daily,OK,PDTE,Number of lines received: 2131,Control de ejecución de WA y procesos diarios - Megacompliance -05032025.xlsx
Recepción de ficheros de AC_RF,Daily,PDTE,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -05032025.xlsx
